January; styczeń
February; luty
March; marzec
April; kwiecień
May; maj
June; czerwiec
July; lipiec
August; sierpień
September; wrzesień
October; październik
November; listopad
December; grudzień
wardrobe; szafa
bin; kosz
window; okno
bookshelf; półka
floor; podłoga
wall; ściana
curtains; zasłony
Monday; poniedziałek
Tuesday; wtorek
Wednesday; środa
Thursday; czwartek
Friday; piątek
Saturday; sobota
Sunday; niedziela
before; przed
after; po/następnie
the first; pierwszy
the second; drugi
the third; trzeci
