ancient; starożytny
BC, before Christ; p.n.e., przed naszą erą
born; urodzić się
die; umrzeć
emperor; cesarz
pilot; pilot
president; prezydent
queen; królowa
quotation; cytat
warrior; wojownik
			//3a
afraid; bać się
attractive; atrakcyjny
beautiful; piękny
clown; klaun
cowardly; tchórzliwy
coward; tchórz
curly; (o włosach) kręcone
decide; zdecydować się
dishonest; nieuczciwy
full lips; pełne usta
handsome; przystojny
hardworking; pracowity
fight; walczyć
sword; miecz
dress; ubierać się
brave; odważny
gift; dar
soldier; żołnierz
realise; zorientować się, zdać sobie sprawę
appear; pojawić się
ballad; ballada
statue; statua, pomnik
hometown; rodzinne miasto
stone tablet; kamienna tabliczka
join the army; zaciągnąć się do wojska
honest; uczciwy, prawdomówny
impatient; niecierpliwy
lazy; leniwy
mistake; błąd
nowadays; obecnie, współcześnie; 
