	//1a
at least; przynajmniej
brave; dzielny, odważny
creative; twórczy
daring; śmiały, odważny
dressing room; przebieralnia
earn a living; zarabiać na życie
fit; sprawny, wysportowany
make his way; udać się gdzieś
mime; pantomima
part-time; na część etatu
patient; cierpliwy
pressure; ciśnienie, presja
stand still; stać nieruchomo
visitors; zwiedzający, odwiedzający
well-paid; dobrze płatny
	//1c
casual; (o ubraniach) codzienny, nieoficjalny
delighted; zachwycony
freckles; piegi
hang out; przebywać razem, trzymać się z kimś
sense of humor; poczucie humoru
	//1d
fit; (o ubraniach) pasować, dobrze leżeć
flat; płaski
loose-fitting; (o ubraniach) luźny
match; (o ubraniach) pasować
polka-dot; w groszki
polo-neck; golf
short-sleeved; z krótkim rękawem
tartan; tartanowy, w szkocką kratę
tight-fitting; obcisły
