	//2b
approach; zbliżyć się
celebrity; sława, znana osobowość
entrance; wejście
go out; wyjść
have a bath; wykąpać się
in progress; w trakcie trwania
interrupt; przerwać
lesson; lekcja
magazine; magazyn, czasopismo
picnic; piknik
railing; ogrodzenie
rescue; ratunek
sandwich; kanapka
specific; konkretny
squash; squash
staff; personel
tidy; sprzątać
well-known; znany, sławny
	//2c
against; przeciwko
alive; żywy
blood; krew
cliff; klif, urwisko
confused; zmieszany, zdezorientowany
decide; zdecydować
depend on; zależeć od
experienced; doświadczony
fall into; wpaść do
keep sb alive; utrzymywać kogoś przy życiu
lizard; jaszczurka
manage; dać radę, zdołać coś zrobić
national; narodowy
overnight; nocny
path; ścieżka
poison; trucizna
rainfall; deszcz
realise; zdać sobie sprawę
recover; dochodzić do siebie, zdrowieć
reporter; reporter
run through; biec przez
scratch; drapać
search party; grupa poszukiwawcza
shocked; zaszokowany, wstrząśnięty
sight; atrakcja turystyczna
sign language; język migowy
spend; spędzić
spot; dostrzec
suddenly; nagle
survival; przetrwanie
though; myśl
towards; w kierunku
traveler; podróżnik
wash away; zmyć
waterfall; wodospad
whistle; gwizdek
