	//3a
accident; wypadek
bat; kij (baseballowy)
batting pads; ochraniacze na nogi do krykieta
carry sb back; odholować kogoś
catch a wave; złapać falę
competition; zawody
cricket; krykiet
death; śmierć
despite; mimo, pomimo
enter; wziąć udział w
escape; uniknąć
fit; wyposażyć
flipper; płetwa (do pływania)
glove; rękawica
goggles; gogle
handle; uchwyt
lifestyle; styl życia
look bright; (o przyszłości) rysować się w świetlanych barwach
lose; stracić
mask; maska
obstacle; przeszkoda
overcome; pokonać, przezwyciężyć
paddle; wiosło (kajakowe)
promise; obiecać
racquet; rakieta (tenisowa)
rank; placować się (w rankingu)
rush; pospieszyć się
shark attack; atak rekina
sharp pain; ostry ból
snorkelling; nurkowanie z rurką
snowboard; deska snowboardowa
special; specjalny
squash; squash
statement; stwierdzenie, opinia
strike; uderzyć, zaatakować
surfer; osoba pływająca na desce surfingowej
surprised; zaskoczony
terror; przerażenie, trwoga
victim; ofiara
white-water kayaking; kajakarstwo górskie
win; zwyciężyć
