	//4e
be afraid of; bać się (czegoś)
dropping; malejący, spadający
endangered species; gatunek zagrożony wyginięciem
face extinction; być zagrożonym wymarciem
fishing village; wioska rybacka
freshwater; słodkowodny
mammal; ssak
overfishing; nadmierny odłów ryb
overhunting; nadmierny odłów zwierzyny
part; część
reason; powód
river; rzeka
threaten; zagrażać
unfortunately; niestety
unique; wyjątkowy
	//4f
aerosol spray; spray w aerozolu
allow; przepuszczać, dopuszczać
blanket; koc
chemical; substancje chemiczne
continue; być nadal
detergent; detergent
discover; odkryć
extinct; wymarły
filter; nie przepuszczać
fix; odtworzyć, naprawić
gas; gaz
harmful; szkodliwy
hole; dziura, luka
ozone layer; warstwa ozonowa
ray; promień
scientist; naukowiec
surround; otaczać
	//4g
do one's part; przyczynić się do czegoś
litter; śmieci
make a difference; zmienić coś na lepsze
pick up; zbierać
plant; sadzić
polluting; zanieczyszczanie
recycle; przetwarzać śmiecie
save our planet; ocalić naszą planetę
