to travel; podróżować
excited; podekscytowany
want; chcieć
accroding to legend; według legendy
journey; podróż
soon; wkrótce
to arrive; dotrzeć
edge; brzeg
suddenly; nagle
to appear; pojawić się
to wander; zastanawiać się
to step back; cofnąć się
in horror; ze zgrozą
to drop; upuścić
to shout; krzyczeć
to calm down; uspokoić się
laugh; śmiać się
log; kłoda
mistake; pomyłka
to reach; osiągnąć, dotrzeć
to scare to the death; przestraszyć na śmierć
after that; po tym
next; następnie
then; później
first; na początku
camera; aparat fotograficzny
lake; jezioro
famous monster; znany potwór
own; własny
to wrap; zawinąć
to seem; wydawać się
to miss; tęsknić
