popular; lubiany
polite; uprzejmy
patient; cierpliwy
sense of humor; poczucie humoru
sensitive; wrażliwy
delighted; zachwycony
A friend in need is a friend indeed.; Prawdziwych przyjaciół poznaje się w biedzie.
belong to; należeć do
appearance; wygląd
beliefs; wierzenia
mainly; głównie
baggy; luźne, workowate
hooded top; bluza z kapturem
trainers; buty sportowe
hang out; spędzać czas
Never give up!; Nigdy się nie poddawaj!
Keep trying!; Próbuj dalej!
rather; raczej
succeed; odnieść sukces
brightly-colored; w jasnych kolorach
accessories; akcesoria
tanned; opalony
lipstick; pomadka
sticker; naklejka
glitter; brokat
