// https://www.ang.pl/gramatyka/czasowniki-verbs/czasowniki-nieregularne
be was/were been; być
bear bore born; urodzić
beat beat beaten; bić, uderzać
become became become; stawać się, zostawać kimś/czymś
begin began begun; zaczynać
bite bit bitten; gryźć
blow blew blown; dmuchać
break broke broken; łamać, pękać, rozbić, tłuc
bring brought brought; przynosić, przyprowadzić
build built built; budować
burn burnt burnt; palić się
burst burst burst; wybuchnąć
buy bought bought; kupować
can could been able to; móc, potrafić
catch caught caught; łapać
choose chose chosen; wybierać
come came come; przyjść, przyjechać
cost cost cost; kosztować
cut cut cut; ciąć, kroić, skaleczyć
