deal dealt dealt; zajmować się
dig dug dug; kopać
do did done; robić
draw drew drawn; rysować, pociągnąć, remisować
dream dreamt dreamt; śnić, marzyć
drink drank drunk; pić
drive drove driven; prowadzić, kierować się czymś
eat ate eaten; jeść
fall fell fallen; padać, upadać, spadać
feed fed fed; karmić
feel felt felt; czuć
fight fought fought; walczyć
find found found; znaleźć
fly flew flown; latać
forbid forbade forbidden; zakazać
forget forgot forgotten; zapomnić
forgive forgave forgiven; wybaczać
freeze froze frozen; zamarznąć
get got got; dostawać
give gave given; dawać
