send sent sent; wysyłać, słać
set set set; ustawiać
sew sewed sewn; szyć
shake shook shaken; trząść
shine shone shone; lśnić, świecić
shoot shot shot; strzelać
show showed shown; pokazywać
shrink shrank shrunk; kurczyć się
shut shut shut; zamykać
sing sang sung; śpiewać
sink sank sunk; tonąć
sit sat sat; siedzieć, siadać
sleep slept slept; spać
smell smelt smelt; wąchać, pachnieć
speak spoke spoken; mówić, rozmawiać
spell spelt spelt; literować
spend spent spent; spędzać, wydawać
spill spilt spilt; rozlewać
spread spread spread; szerzyć
stand stood stood; stać
steal stole stolen; kraść
stick stuck stuck; przylegać
sting stung stung; użądlić
swear swore sworn; przysięgać
sweep swept swept; zamiatać
swim swam swum; pływać
